año;Meses_num;Meses;Fecha
2015;1;Enero;201501
2015;10;octubre;201510
2015;11;noviembre;201511
2015;12;diciembre;201512
2016;1;enero;201601
2016;2;febrero;201602
2016;3;marzo;201603
2016;4;abril;201604
2016;5;mayo;201605
2016;6;junio;201606
2016;7;julio;201607
2016;8;agosto;201608
2016;9;septiembre;201609
2016;10;octubre;201610
2016;11;noviembre;201611
2016;12;diciembre;201612
2017;1;enero;201701
2017;2;febrero;201702
2017;3;marzo;201703
2017;4;abril;201704
2017;5;mayo;201705
2017;6;junio;201706
2017;7;julio;201707
2017;8;agosto;201708
2017;9;septiembre;201709
2017;10;octubre;201710
2017;11;noviembre;201711
2017;12;diciembre;201712
2018;1;enero;201801
2018;2;febrero;201802
2018;3;marzo;201803
2018;4;abril;201804
2018;5;mayo;201805
2018;6;junio;201806
2018;7;julio;201807
2018;8;agosto;201808
2018;9;septiembre;201809
2018;10;octubre;201810
2018;11;noviembre;201811
2018;12;diciembre;201812
2019;1;enero;201901
2019;2;febrero;201902
2019;3;marzo;201903
2019;4;abril;201904
2019;5;mayo;201905
2019;6;junio;201906
2019;7;julio;201907
2019;8;agosto;201908
2019;9;septiembre;201909
2019;10;octubre;201910
2019;11;noviembre;201911
2019;12;diciembre;201912
2020;1;enero;202001
2020;2;febrero;202002
2020;3;marzo;202003
2020;4;abril;202004
2020;5;mayo;202005
2020;6;junio;202006
2020;7;julio;202007
2020;8;agosto;202008
2020;9;septiembre;202009
2020;10;octubre;202010
2020;11;noviembre;202011
2020;12;diciembre;202012
