Duraciacion_del_viaje;Total;Fecha
1 noche;0.0;201510
1 noche;0.0;201511
1 noche;0.0;201512
1 noche;173454.0;201601
1 noche;327208.0;201602
1 noche;540131.0;201603
1 noche;787876.0;201604
1 noche;1039079.0;201605
1 noche;1335947.0;201606
1 noche;1733352.0;201607
1 noche;2367955.0;201608
1 noche;2731727.0;201609
1 noche;3018486.0;201610
1 noche;3269704.0;201611
1 noche;3525195.0;201612
1 noche;198582.0;201701
1 noche;396231.0;201702
1 noche;636073.0;201703
1 noche;955166.0;201704
1 noche;1331625.0;201705
1 noche;1700316.0;201706
1 noche;2221038.0;201707
1 noche;2805938.0;201708
1 noche;3242813.0;201709
1 noche;3568635.0;201710
1 noche;3832648.0;201711
1 noche;4078375.0;201712
1 noche;210323.0;201801
1 noche;468613.0;201802
1 noche;752909.0;201803
1 noche;1113029.0;201804
1 noche;1534572.0;201805
1 noche;1960768.0;201806
1 noche;2487879.0;201807
1 noche;3053039.0;201808
1 noche;3517930.0;201809
1 noche;3891737.0;201810
1 noche;4136044.0;201811
1 noche;4415509.0;201812
1 noche;216604.0;201901
1 noche;495347.0;201902
1 noche;809194.0;201903
1 noche;1139980.0;201904
1 noche;1494420.0;201905
1 noche;1846507.0;201906
1 noche;2280567.0;201907
1 noche;2824750.0;201908
1 noche;3243899.0;201909
1 noche;3661542.0;201910
1 noche;3945339.0;201911
1 noche;4220546.0;201912
1 noche;253786.0;202001
1 noche;496724.0;202002
1 noche;610193.0;202003
1 noche;610193.0;202004
1 noche;610193.0;202005
1 noche;626876.0;202006
1 noche;757243.0;202007
1 noche;914977.0;202008
1 noche;1057982.0;202009
1 noche;1166093.0;202010
1 noche;1212104.0;202011
1 noche;1307881.0;202012
De 2 a 3 noches;0.0;201510
De 2 a 3 noches;0.0;201511
De 2 a 3 noches;0.0;201512
De 2 a 3 noches;613686.0;201601
De 2 a 3 noches;1318601.0;201602
De 2 a 3 noches;2155353.0;201603
De 2 a 3 noches;3259954.0;201604
De 2 a 3 noches;4730032.0;201605
De 2 a 3 noches;5875397.0;201606
De 2 a 3 noches;6929895.0;201607
De 2 a 3 noches;7912631.0;201608
De 2 a 3 noches;9113734.0;201609
De 2 a 3 noches;10392073.0;201610
De 2 a 3 noches;11419230.0;201611
De 2 a 3 noches;12249237.0;201612
De 2 a 3 noches;717858.0;201701
De 2 a 3 noches;1675541.0;201702
De 2 a 3 noches;2770994.0;201703
De 2 a 3 noches;3981830.0;201704
De 2 a 3 noches;5697625.0;201705
De 2 a 3 noches;7120515.0;201706
De 2 a 3 noches;8466973.0;201707
De 2 a 3 noches;9661379.0;201708
De 2 a 3 noches;11085481.0;201709
De 2 a 3 noches;12444214.0;201710
De 2 a 3 noches;13351063.0;201711
De 2 a 3 noches;14235659.0;201712
De 2 a 3 noches;704943.0;201801
De 2 a 3 noches;1623515.0;201802
De 2 a 3 noches;2688947.0;201803
De 2 a 3 noches;4065032.0;201804
De 2 a 3 noches;5645035.0;201805
De 2 a 3 noches;7113298.0;201806
De 2 a 3 noches;8519842.0;201807
De 2 a 3 noches;9627800.0;201808
De 2 a 3 noches;11096173.0;201809
De 2 a 3 noches;12532534.0;201810
De 2 a 3 noches;13582575.0;201811
De 2 a 3 noches;14606759.0;201812
De 2 a 3 noches;844199.0;201901
De 2 a 3 noches;1836366.0;201902
De 2 a 3 noches;3135701.0;201903
De 2 a 3 noches;4500815.0;201904
De 2 a 3 noches;6218531.0;201905
De 2 a 3 noches;8017720.0;201906
De 2 a 3 noches;9344097.0;201907
